"","SACRIFICE_PERIOD","rDOSE_LEVEL","compound_sutherland","toxclass","toxlabel","time_index","toxact","COMPOUND_NAME","compound_tggates","chembl_id","compound_chembl"
"260","24 hr","rHigh","THIOACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_low","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"261","24 hr","rHigh","NIACIN","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",4,"toxact_low","nicotinic_acid","nicotinic acid","CHEMBL573","NIACIN"
"262","24 hr","rHigh","BENZBROMARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","benzbromarone","benzbromarone","CHEMBL388590","BENZBROMARONE"
"263","24 hr","rMiddle","BORTEZOMIB","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"264","24 hr","rHigh","BROMOBENZENE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"265","24 hr","rHigh","4,4'-METHYLENEDIANILINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"266","24 hr","rMiddle","4,4'-METHYLENEDIANILINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"267","24 hr","rHigh","THIOACETAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_low","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"268","24 hr","rHigh","ACETAMINOPHEN","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","acetaminophen","acetaminophen","CHEMBL112","ACETAMINOPHEN"
"269","24 hr","rHigh","AFLATOXIN B1","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"270","24 hr","rHigh","BROMOBENZENE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"271","24 hr","rMiddle","ETHIONINE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","ethionine","ethionine","CHEMBL203187","ETHIONINE"
"272","24 hr","rHigh","GALACTOSAMINE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"273","24 hr","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"274","24 hr","rMiddle","1-NAPHTHYL ISOTHIOCYANATE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"275","24 hr","rHigh","PHORONE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_low","phorone","phorone","CHEMBL2766015","PHORONE"
"276","24 hr","rHigh","DANAZOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","danazol","danazol","CHEMBL1479","DANAZOL"
"277","24 hr","rLow","DANAZOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","danazol","danazol","CHEMBL1479","DANAZOL"
"278","24 hr","rMiddle","DANAZOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","danazol","danazol","CHEMBL1479","DANAZOL"
"279","24 hr","rMiddle","ETHAMBUTOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","ethambutol","ethambutol","CHEMBL44884","ETHAMBUTOL"
"280","24 hr","rHigh","FENOFIBRATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"281","24 hr","rLow","FENOFIBRATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"282","24 hr","rMiddle","FENOFIBRATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"283","24 hr","rHigh","GRISEOFULVIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","griseofulvin","griseofulvin","CHEMBL562","GRISEOFULVIN"
"284","24 hr","rHigh","IBUPROFEN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","ibuprofen","ibuprofen","CHEMBL521","IBUPROFEN"
"285","24 hr","rMiddle","IBUPROFEN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","ibuprofen","ibuprofen","CHEMBL521","IBUPROFEN"
"286","24 hr","rHigh","KETOCONAZOLE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","ketoconazole","ketoconazole","CHEMBL157101","KETOCONAZOLE"
"287","24 hr","rHigh","17-METHYLTESTOSTERONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","methyltestosterone","methyltestosterone","CHEMBL1395","METHYLTESTOSTERONE"
"288","24 hr","rHigh","PAPAVERINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","papaverine","papaverine","CHEMBL19224","PAPAVERINE"
"289","24 hr","rHigh","PHENYLANTHRANILIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","phenylanthranilic_acid","phenylanthranilic acid","CHEMBL23832","FENAMIC ACID "
"290","24 hr","rMiddle","PHENYLANTHRANILIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","phenylanthranilic_acid","phenylanthranilic acid","CHEMBL23832","FENAMIC ACID "
"291","24 hr","rHigh","SIMVASTATIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","simvastatin","simvastatin","CHEMBL1064","SIMVASTATIN"
"292","24 hr","rMiddle","SIMVASTATIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","simvastatin","simvastatin","CHEMBL1064","SIMVASTATIN"
"293","24 hr","rHigh","PIRINIXIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"294","24 hr","rMiddle","PIRINIXIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_low","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"295","24 hr","rHigh","COLCHICINE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",4,"toxact_low","colchicine","colchicine","CHEMBL107","COLCHICINE"
"296","24 hr","rLow","DEXAMETHASONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",4,"toxact_low","dexamethasone","dexamethasone","CHEMBL384467","DEXAMETHASONE"
"297","4 day","rHigh","ACETAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",5,"toxact_low","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"298","4 day","rHigh","BENDAZAC","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",5,"toxact_low","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"299","4 day","rHigh","1% CHOLESTEROL + 0.25% SODIUM CHOLATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","1%_cholesterol_+_0.25%_sodium_cholate","1% cholesterol + 0.25% sodium cholate","CHEMBL2766016",""
"300","4 day","rHigh","ACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"301","4 day","rMiddle","ACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"302","4 day","rLow","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"303","4 day","rMiddle","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"304","4 day","rHigh","FENOFIBRATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"305","4 day","rMiddle","FENOFIBRATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"306","4 day","rHigh","N-NITROSODIETHYLAMINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_low","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"307","4 day","rHigh","1% CHOLESTEROL + 0.25% SODIUM CHOLATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",5,"toxact_low","1%_cholesterol_+_0.25%_sodium_cholate","1% cholesterol + 0.25% sodium cholate","CHEMBL2766016",""
"308","4 day","rHigh","METFORMIN","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",5,"toxact_low","metformin","metformin","CHEMBL1431","METFORMIN"
"309","4 day","rHigh","METHAPYRILENE","Hyperplasia:Biliary","Biliary Hyperplasia",5,"toxact_low","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"310","4 day","rHigh","4,4'-METHYLENEDIANILINE","Hyperplasia:Biliary","Biliary Hyperplasia",5,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"311","4 day","rMiddle","4,4'-METHYLENEDIANILINE","Hyperplasia:Biliary","Biliary Hyperplasia",5,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"312","4 day","rHigh","BENDAZAC","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"313","4 day","rMiddle","BENDAZAC","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"314","4 day","rMiddle","BENZBROMARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","benzbromarone","benzbromarone","CHEMBL388590","BENZBROMARONE"
"315","4 day","rHigh","CHLORPROPAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","chlorpropamide","chlorpropamide","CHEMBL498","CHLORPROPAMIDE"
"316","4 day","rHigh","DILTIAZEM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","diltiazem","diltiazem","CHEMBL23","DILTIAZEM"
"317","4 day","rHigh","HYDROXYZINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","hydroxyzine","hydroxyzine","CHEMBL896","HYDROXYZINE"
"318","4 day","rHigh","NIMESULIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"319","4 day","rMiddle","THIOACETAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"320","4 day","rHigh","TICLOPIDINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","ticlopidine","ticlopidine","CHEMBL833","TICLOPIDINE"
"321","4 day","rMiddle","TICLOPIDINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_low","ticlopidine","ticlopidine","CHEMBL833","TICLOPIDINE"
"322","4 day","rHigh","CARBON TETRACHLORIDE","Infiltration\Inflammation:Inflammation","Inflammation",5,"toxact_low","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"323","4 day","rMiddle","CARBON TETRACHLORIDE","Infiltration\Inflammation:Inflammation","Inflammation",5,"toxact_low","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"324","4 day","rHigh","COLCHICINE","Infiltration\Inflammation:Inflammation","Inflammation",5,"toxact_low","colchicine","colchicine","CHEMBL107","COLCHICINE"
"325","4 day","rMiddle","CYCLOPHOSPHAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",5,"toxact_low","cyclophosphamide","cyclophosphamide","CHEMBL88","CYCLOPHOSPHAMIDE"
"326","4 day","rHigh","1% CHOLESTEROL + 0.25% SODIUM CHOLATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","1%_cholesterol_+_0.25%_sodium_cholate","1% cholesterol + 0.25% sodium cholate","CHEMBL2766016",""
"327","4 day","rHigh","BENDAZAC","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"328","4 day","rHigh","BENZIODARONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","benziodarone","benziodarone","CHEMBL232201","BENZIODARONE"
"329","4 day","rMiddle","BENZIODARONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","benziodarone","benziodarone","CHEMBL232201","BENZIODARONE"
"330","4 day","rHigh","ETHIONAMIDE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"331","4 day","rHigh","GEMFIBROZIL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"332","4 day","rLow","GEMFIBROZIL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"333","4 day","rMiddle","GEMFIBROZIL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"334","4 day","rHigh","HEXACHLOROBENZENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","hexachlorobenzene","hexachlorobenzene","CHEMBL228514","PERCHLOROBENZENE"
"335","4 day","rHigh","METHAPYRILENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"336","4 day","rHigh","4,4'-METHYLENEDIANILINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"337","4 day","rHigh","PHENOBARBITAL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","phenobarbital","phenobarbital","CHEMBL40","PHENOBARBITAL"
"338","4 day","rLow","PIRINIXIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_low","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"339","4 day","rHigh","ETHIONAMIDE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",5,"toxact_low","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"340","4 day","rMiddle","ETHIONAMIDE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",5,"toxact_low","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"341","8 day","rHigh","ETHAMBUTOL","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",6,"toxact_low","ethambutol","ethambutol","CHEMBL44884","ETHAMBUTOL"
"342","8 day","rHigh","MONOCROTALINE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",6,"toxact_low","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"343","8 day","rHigh","ALLYL ALCOHOL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"344","8 day","rMiddle","CAPTOPRIL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","captopril","captopril","CHEMBL1560","CAPTOPRIL"
"345","8 day","rHigh","CLOFIBRATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","clofibrate","clofibrate","CHEMBL565","CLOFIBRATE"
"346","8 day","rHigh","GEMFIBROZIL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"347","8 day","rHigh","MONOCROTALINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"348","8 day","rMiddle","N-NITROSODIETHYLAMINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"349","8 day","rMiddle","THIOACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_low","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"350","8 day","rHigh","MONOCROTALINE","Fibrosis:Fibrosis","Fibrosis",6,"toxact_low","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"351","8 day","rHigh","IBUPROFEN","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_low","ibuprofen","ibuprofen","CHEMBL521","IBUPROFEN"
"352","8 day","rHigh","MELOXICAM","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_low","meloxicam","meloxicam","CHEMBL599","MELOXICAM"
"353","8 day","rHigh","NAPROXEN","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_low","naproxen","naproxen","CHEMBL154","NAPROXEN"
"354","8 day","rHigh","PHENACETIN","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_low","phenacetin","phenacetin","CHEMBL16073","PHENACETIN"
"355","8 day","rHigh","2-ACETYLAMINOFLUORENE","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"356","8 day","rLow","2-ACETYLAMINOFLUORENE","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"357","8 day","rMiddle","2-ACETYLAMINOFLUORENE","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"358","8 day","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"359","8 day","rHigh","N-NITROSODIETHYLAMINE","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"360","8 day","rHigh","PHALLOIDIN","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_low","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"361","8 day","rHigh","AMITRIPTYLINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","amitriptyline","amitriptyline","CHEMBL629","AMITRIPTYLINE"
"362","8 day","rLow","BENZBROMARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","benzbromarone","benzbromarone","CHEMBL388590","BENZBROMARONE"
"363","8 day","rHigh","BENZIODARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","benziodarone","benziodarone","CHEMBL232201","BENZIODARONE"
"364","8 day","rHigh","COUMARIN","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","coumarin","coumarin","CHEMBL6466","COUMARIN"
"365","8 day","rMiddle","DILTIAZEM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","diltiazem","diltiazem","CHEMBL23","DILTIAZEM"
"366","8 day","rHigh","DISULFIRAM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","disulfiram","disulfiram","CHEMBL964","DISULFIRAM"
"367","8 day","rMiddle","ETHAMBUTOL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","ethambutol","ethambutol","CHEMBL44884","ETHAMBUTOL"
"368","8 day","rHigh","FLUTAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","flutamide","flutamide","CHEMBL806","FLUTAMIDE"
"369","8 day","rHigh","OMEPRAZOLE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","omeprazole","omeprazole","CHEMBL1503","OMEPRAZOLE"
"370","8 day","rHigh","PHENOBARBITAL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","phenobarbital","phenobarbital","CHEMBL40","PHENOBARBITAL"
"371","8 day","rMiddle","PHENOBARBITAL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","phenobarbital","phenobarbital","CHEMBL40","PHENOBARBITAL"
"372","8 day","rHigh","PHENYTOIN","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","phenytoin","phenytoin","CHEMBL16","PHENYTOIN"
"373","8 day","rHigh","PROMETHAZINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","promethazine","promethazine","CHEMBL643","PROMETHAZINE"
"374","8 day","rHigh","TERBINAFINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","terbinafine","terbinafine","CHEMBL822","TERBINAFINE"
"375","8 day","rHigh","TRIMETHADIONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_low","trimethadione","trimethadione","CHEMBL695","TRIMETHADIONE"
"376","8 day","rHigh","2-ACETYLAMINOFLUORENE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"377","8 day","rLow","2-ACETYLAMINOFLUORENE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"378","8 day","rMiddle","2-ACETYLAMINOFLUORENE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"379","8 day","rHigh","ALLYL ALCOHOL","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"380","8 day","rHigh","LOMUSTINE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"381","8 day","rMiddle","LOMUSTINE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"382","8 day","rHigh","MONOCROTALINE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_low","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"383","8 day","rHigh","AMITRIPTYLINE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",6,"toxact_low","amitriptyline","amitriptyline","CHEMBL629","AMITRIPTYLINE"
"384","15 day","rMiddle","METHAPYRILENE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",7,"toxact_low","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"385","15 day","rHigh","4,4'-METHYLENEDIANILINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",7,"toxact_low","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"386","15 day","rMiddle","GEMFIBROZIL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",7,"toxact_low","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"387","15 day","rHigh","LOMUSTINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",7,"toxact_low","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"388","15 day","rHigh","ALLYL ALCOHOL","Fibrosis:Fibrosis","Fibrosis",7,"toxact_low","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"389","15 day","rMiddle","CARBON TETRACHLORIDE","Fibrosis:Fibrosis","Fibrosis",7,"toxact_low","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"390","15 day","rHigh","IPRONIAZID","Hematopoiesis:Hematopoeisis","Hematopoeisis",7,"toxact_low","iproniazid","iproniazid","CHEMBL92401","IPRONIAZID"
"391","15 day","rHigh","ALLYL ALCOHOL","Hyperplasia:Biliary","Biliary Hyperplasia",7,"toxact_low","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"392","15 day","rHigh","CARBAMAZEPINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"393","15 day","rLow","CARBAMAZEPINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"394","15 day","rMiddle","CARBAMAZEPINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"395","15 day","rHigh","CHLORAMPHENICOL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","chloramphenicol","chloramphenicol","CHEMBL130","CHLORAMPHENICOL"
"396","15 day","rHigh","CHLORMEZANONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","chlormezanone","chlormezanone","CHEMBL1200714","CHLORMEZANONE"
"397","15 day","rHigh","DANTROLENE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","dantrolene","dantrolene","CHEMBL1201288","DANTROLENE"
"398","15 day","rHigh","DIAZEPAM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_low","diazepam","diazepam","CHEMBL12","DIAZEPAM"
